kd,t,v
0.05,1.9948570410488173,7.915836334228516
0.05,1.9999352500308305,7.9009528160095215
0.05,2.0013469160185196,7.871379852294922
0.05,2.002709624997806,7.897277355194092
0.05,2.0040571250137873,7.998861312866211
0.05,2.00536229100544,7.937725067138672
0.05,2.006949666014407,7.864821910858154
0.05,2.0087392500136048,7.805663108825684
0.05,2.010336541046854,7.838417053222656
0.05,2.0115754160215147,7.864557266235352
0.05,2.013018916011788,7.955530643463135
0.05,2.015030208043754,7.781472206115723
0.05,2.020161000022199,7.866343975067139
0.05,2.0214649999979883,7.798701286315918
0.05,2.0227383750025183,7.867065906524658
0.05,2.0241575830150396,7.8097052574157715
0.05,2.025524208031129,7.777212619781494
0.05,2.0268898750073276,7.968961238861084
0.05,2.0286933750030585,7.951388835906982
0.05,2.030927875021007,7.8059468269348145
0.05,2.0329409580444917,7.835055351257324
0.05,2.034410291002132,7.926321029663086
0.05,2.0357094579958357,7.929941177368164
0.05,2.037497041048482,7.879467487335205
0.05,2.039643916010391,7.953066825866699
0.05,2.0418837910401635,7.950058460235596
0.05,2.043821083032526,7.9885077476501465
0.05,2.0458042910322547,7.984247207641602
0.05,2.0472753750509582,7.990645408630371
0.05,2.0486186660127714,7.937127113342285
0.05,2.050020750029944,7.9744157791137695
0.05,2.051498916000128,7.906227111816406
0.05,2.0526139580179006,8.061726570129395
0.05,2.0540066250250675,8.12720775604248
0.05,2.055405541032087,8.168313980102539
0.05,2.0568742500036024,8.093673706054688
0.05,2.0585261250380427,8.119308471679688
0.05,2.061092958028894,8.131425857543945
0.05,2.0624101660214365,8.137894630432129
0.05,2.0636722500203177,8.242870330810547
0.05,2.064948875049595,8.258915901184082
0.05,2.06620387500152,8.197233200073242
0.05,2.067521541030146,8.140129089355469
0.05,2.0689410410122946,8.125228881835938
0.05,2.0702734160004184,8.170732498168945
0.05,2.0716292500146665,8.159161567687988
0.05,2.0746129160397686,8.221990585327148
0.05,2.077096041000914,8.15727424621582
0.05,2.0784533330006525,8.099143028259277
0.05,2.079717500018887,8.161422729492188
0.05,2.0810803750064224,8.133094787597656
0.05,2.082362458051648,8.182348251342773
0.05,2.083615625044331,8.201494216918945
0.05,2.085405416029971,8.172904014587402
0.05,2.086727540998254,8.161654472351074
0.05,2.088463666033931,8.171813011169434
0.05,2.0899940410163254,8.102879524230957
0.05,2.0913558330503292,8.164552688598633
0.05,2.092854500049725,8.124045372009277
0.05,2.0947917910525575,8.121698379516602
0.05,2.096097000001464,8.11023998260498
0.05,2.097337500017602,8.143450736999512
0.05,2.098544958047569,8.114013671875
0.05,2.0998994580004364,8.14992904663086
0.05,2.1011194580351003,8.110672950744629
0.05,2.102394791028928,8.016758918762207
0.05,2.1036424160120077,7.9293951988220215
0.05,2.104981583019253,7.980255603790283
0.05,2.1062128750490956,7.999409198760986
0.05,2.1074704580241814,8.039327621459961
0.05,2.1086677910061553,7.999456405639648
0.05,2.111402958049439,7.883183002471924
0.05,2.1128847500076517,7.91817569732666
0.05,2.1145322910160758,7.983128070831299
0.05,2.115919041039888,8.036231994628906
0.05,2.117281458049547,7.874619483947754
0.05,2.1350061660050415,7.876300811767578
0.05,2.1367456250009127,7.959836959838867
0.05,2.138709958002437,7.840770244598389
0.05,2.1399569580098614,7.788056373596191
0.05,2.1410642500268295,7.7443742752075195
0.05,2.1423385410453193,7.746162414550781
0.05,2.1435217080288567,7.858116149902344
0.05,2.144559125008527,7.878271102905273
0.05,2.145949500030838,7.904797554016113
0.05,2.147486000030767,7.8314666748046875
0.05,2.1486217910423875,7.825378894805908
0.05,2.1499381660250947,7.774254322052002
0.05,2.151084000011906,7.9263458251953125
0.05,2.1523680000100285,7.92581844329834
0.05,2.1535112500423566,7.945350170135498
0.05,2.154577250010334,7.902586460113525
0.05,2.155594166019,7.822871685028076
0.05,2.1566520410124213,7.922852039337158
0.05,2.15809566603275,7.9291887283325195
0.05,2.1591841659974307,7.964331150054932
0.05,2.1603709580376744,7.873733043670654
0.05,2.1615119160269387,7.902970790863037
0.05,2.1628723750473,7.940462589263916
0.05,2.1641875409986824,7.936119556427002
0.05,2.1654219159972854,7.950586795806885
0.05,2.1666974580148235,7.930907249450684
0.05,2.1681369580328465,8.0029935836792
0.05,2.169500833027996,7.965961456298828
0.05,2.1708946660510264,7.980327606201172
0.05,2.17218504101038,8.012383460998535
0.05,2.1734862500452437,7.991040229797363
0.05,2.1746932500391267,8.000035285949707
0.05,2.175951875047758,8.006204605102539
0.05,2.1772917910129763,8.085161209106445
0.05,2.178585000045132,8.102782249450684
0.05,2.1853153750416823,8.122675895690918
0.05,2.18664179102052,8.109435081481934
0.05,2.1882892910507508,8.178133010864258
0.05,2.1895835830364376,8.227133750915527
0.05,2.1910299580194987,8.173418998718262
0.05,2.1922270000213757,8.22036361694336
0.05,2.1933039580471814,8.200281143188477
0.05,2.194455165998079,8.147520065307617
0.05,2.1955469580134377,8.136560440063477
0.05,2.196786166052334,8.147441864013672
0.05,2.198227583023254,8.197824478149414
0.05,2.199368541012518,8.183338165283203
