v_cmd,omega,t,torque
4.029411764705882,4.033600999597917,1.9543180000036955,-0.0009250427829101682
4.029411764705882,4.033600999597917,1.9670251670177095,-0.0010377134894952178
4.029411764705882,4.033600999597917,1.9805855830200016,0.0023363446816802025
4.029411764705882,4.033600999597917,1.996982750017196,0.0019540945068001747
4.029411764705882,4.033600999597917,2.0102079170173965,0.0028286208398640156
4.029411764705882,4.033600999597917,2.02351687499322,0.0019485781667754054
4.029411764705882,4.033600999597917,2.0366640830179676,0.0006644292152486742
4.029411764705882,4.033600999597917,2.050668957992457,0.0045561352744698524
4.029411764705882,4.033600999597917,2.0636699580354616,0.010028851218521595
4.029411764705882,4.033600999597917,2.0760030419914983,0.006045274902135134
4.029411764705882,4.033600999597917,2.0883211250184104,0.007408556528389454
4.029411764705882,4.033600999597917,2.1007145830080844,0.007499364670366049
4.029411764705882,4.033600999597917,2.1129902920220047,0.00801345705986023
4.029411764705882,4.033600999597917,2.1257841250044294,0.009795591235160828
4.029411764705882,4.033600999597917,2.138037250027992,0.004252646118402481
4.029411764705882,4.033600999597917,2.1508627920411527,0.0005311205168254673
4.029411764705882,4.033600999597917,2.164336958026979,0.0023953993804752827
4.029411764705882,4.033600999597917,2.1774126670206897,0.002536256331950426
4.029411764705882,4.033600999597917,2.1900337919942103,0.0003221016959287226
4.029411764705882,4.033600999597917,2.2036928749876097,-0.0014488784363493323
4.029411764705882,4.033600999597917,2.2165218330337666,0.0030641991179436445
4.029411764705882,4.033600999597917,2.2291627500089817,0.0035354900173842907
4.029411764705882,4.033600999597917,2.2432121250312775,0.0019599765073508024
4.029411764705882,4.033600999597917,2.255871208035387,0.004907083697617054
4.029411764705882,4.033600999597917,2.270663625036832,0.003598986193537712
4.029411764705882,4.033600999597917,2.2836307079996914,0.002251257887110114
4.029411764705882,4.033600999597917,2.2989224169868976,0.005495789460837841
4.029411764705882,4.033600999597917,2.3121706250240095,0.009729770943522453
4.029411764705882,4.033600999597917,2.3244530830415897,0.005544439423829317
4.029411764705882,4.033600999597917,2.337525417038705,0.0056113735772669315
4.029411764705882,4.033600999597917,2.3504744170350023,0.011758411303162575
4.029411764705882,4.033600999597917,2.364328249997925,0.00628215866163373
4.029411764705882,4.033600999597917,2.3776280829915777,0.0045882840640842915
4.029411764705882,4.033600999597917,2.3909851670032367,0.0032866699621081352
4.029411764705882,4.033600999597917,2.403707583027426,0.003857066622003913
4.029411764705882,4.033600999597917,2.4175451670307666,0.0014810193097218871
4.029411764705882,4.033600999597917,2.4303777500172146,0.0022416776046156883
4.029411764705882,4.033600999597917,2.4426089170156047,0.002544091548770666
4.029411764705882,4.033600999597917,2.455967999994755,0.0036272972356528044
4.029411764705882,4.033600999597917,2.468801832990721,0.002121846191585064
4.029411764705882,4.033600999597917,2.4820605000131764,0.003902022261172533
4.029411764705882,4.033600999597917,2.4953336250036955,0.006698551122099161
4.029411764705882,4.033600999597917,2.508873167040292,0.0022047176025807858
4.029411764705882,4.033600999597917,2.521581500011962,0.0008446983410976827
4.029411764705882,4.033600999597917,2.5350148750003427,0.004184934310615063
4.029411764705882,4.033600999597917,2.548343458038289,0.00627530924975872
4.029411764705882,4.033600999597917,2.561419375007972,0.006907350849360228
4.029411764705882,4.033600999597917,2.5745796670089476,0.004183550830930471
