v_cmd,omega_mean,t,torque,omega
-32.0,-32.00667858967739,2.878138832980767,-0.06077491119503975,-32.031349182128906
-32.0,-32.00667858967739,2.89181604096666,-0.0644339993596077,-31.959186553955078
-32.0,-32.00667858967739,2.9051425000070594,-0.062007538974285126,-32.01304626464844
-32.0,-32.00667858967739,2.9178955410025083,-0.07127092778682709,-31.68903350830078
-32.0,-32.00667858967739,2.9310089999926277,-0.05942289158701897,-32.11152648925781
-32.0,-32.00667858967739,2.9454374999622814,-0.06298556923866272,-31.943151473999023
-32.0,-32.00667858967739,2.9592364999698475,-0.0581357404589653,-32.14733123779297
-32.0,-32.00667858967739,2.9724966660141945,-0.0604003369808197,-32.093833923339844
-32.0,-32.00667858967739,2.9850990409613587,-0.06216380000114441,-32.047607421875
-32.0,-32.00667858967739,2.998699540970847,-0.058437176048755646,-32.12502670288086
-30.13529411764706,-30.13258810505468,8.300412446260452e-08,-0.05636154115200043,-30.115036010742188
-30.13529411764706,-30.13258810505468,0.012401833024341613,-0.05365237593650818,-30.184179306030273
-30.13529411764706,-30.13258810505468,0.024761625041719526,-0.06058002635836601,-29.967880249023438
-30.13529411764706,-30.13258810505468,0.03710470802616328,-0.05336901172995567,-30.19950294494629
-30.13529411764706,-30.13258810505468,0.04921358299907297,-0.060000211000442505,-30.049659729003906
-30.13529411764706,-30.13258810505468,0.06123799999477342,-0.06283211708068848,-29.96697425842285
-30.13529411764706,-30.13258810505468,0.07353604200761765,-0.05428546294569969,-30.22459602355957
-30.13529411764706,-30.13258810505468,0.08585158304776996,-0.058402858674526215,-30.101341247558594
-30.13529411764706,-30.13258810505468,0.0982359170448035,-0.05531167984008789,-30.16781234741211
-30.13529411764706,-30.13258810505468,0.11039025004720315,-0.05323397368192673,-30.211320877075195
-30.13529411764706,-30.13258810505468,0.12294483301229775,-0.06138058751821518,-29.91571044921875
-30.13529411764706,-30.13258810505468,0.13530475000152364,-0.05264437571167946,-30.211713790893555
-30.13529411764706,-30.13258810505468,0.14836658304557204,-0.05872919782996178,-30.11315155029297
-30.13529411764706,-30.13258810505468,0.16182233300060034,-0.05823242664337158,-30.058019638061523
-30.13529411764706,-30.13258810505468,0.1745727499946952,-0.055281538516283035,-30.216251373291016
-30.13529411764706,-30.13258810505468,0.18919041700428352,-0.05966153368353844,-29.926292419433594
-30.13529411764706,-30.13258810505468,0.2034580420004204,-0.05121288076043129,-30.33207130432129
-30.13529411764706,-30.13258810505468,0.21689641702687368,-0.05234818160533905,-30.212535858154297
-30.13529411764706,-30.13258810505468,0.22964316699653864,-0.057709868997335434,-30.10694122314453
-30.13529411764706,-30.13258810505468,0.24218333302997053,-0.05310291796922684,-30.183032989501953
-30.13529411764706,-30.13258810505468,0.25398925004992634,-0.0612528957426548,-30.01192283630371
-30.13529411764706,-30.13258810505468,0.26641741703497246,-0.05181097239255905,-30.2495174407959
-30.13529411764706,-30.13258810505468,0.2796513329958543,-0.053308021277189255,-30.227951049804688
-30.13529411764706,-30.13258810505468,0.29230454203207046,-0.060557857155799866,-29.95590591430664
-30.13529411764706,-30.13258810505468,0.30452433304162696,-0.05491012707352638,-30.211395263671875
-30.13529411764706,-30.13258810505468,0.3171014999970794,-0.05628000572323799,-30.119962692260742
-30.13529411764706,-30.13258810505468,0.32943425001576543,-0.05795788764953613,-30.082199096679688
-30.13529411764706,-30.13258810505468,0.3419042919995263,-0.05225512757897377,-30.213645935058594
-30.13529411764706,-30.13258810505468,0.35474616702413186,-0.06440141797065735,-29.897777557373047
