# START - collecting
# STOP
# ---- jitter result ----
# ticks   = 6920
# period  = 20833.339 us/tick
# bpm     = 120.000
# sigma_t = 204.627 us
# k,timestamp_us,residual_us
522,29779880,-115.2
523,29800767,-61.6
524,29821625,-36.9
525,29842460,-35.2
526,29863305,-23.6
527,29884137,-24.9
528,29904917,-78.2
529,29925803,-25.6
530,29946589,-72.9
531,29967473,-22.3
532,29988248,-80.6
533,30009146,-15.9
534,30030000,4.7
535,30050806,-22.6
536,30071606,-56.0
537,30092454,-41.3
538,30113280,-48.6
539,30134243,81.0
540,30154921,-74.3
541,30175800,-28.7
542,30196654,-8.0
543,30217452,-43.3
544,30238255,-73.7
545,30259112,-50.0
546,30279996,0.7
547,30300767,-61.7
548,30321606,-56.0
549,30342456,-39.4
550,30363362,33.3
551,30384152,-10.0
552,30404978,-17.4
553,30425798,-30.7
554,30446619,-43.1
555,30467474,-21.4
556,30488277,-51.7
557,30509118,-44.1
558,30529946,-49.4
559,30550779,-49.7
560,30571646,-16.1
561,30592420,-75.4
562,30613290,-38.8
563,30634068,-94.1
564,30654991,-4.4
565,30675826,-2.8
566,30696624,-38.1
567,30717423,-72.5
568,30738279,-49.8
569,30759071,-91.1
570,30779982,-13.5
571,30800765,-63.8
572,30821636,-26.1
573,30842443,-52.5
574,30863269,-59.8
575,30884138,-24.2
576,30904954,-41.5
577,30925812,-16.8
578,30946636,-26.2
579,30967419,-76.5
580,30988291,-37.9
581,31009126,-36.2
582,31029972,-23.5
583,31050782,-46.9
584,31071627,-35.2
585,31092487,-8.5
586,31113282,-46.9
587,31134118,-44.2
588,31154964,-31.6
589,31175802,-26.9
590,31196666,3.8
591,31217468,-27.6
592,31238271,-57.9
593,31259137,-25.3
594,31279959,-36.6
595,31300821,-7.9
596,31321586,-76.3
597,31342457,-38.6
598,31363305,-23.9
599,31384105,-57.3
600,31404944,-51.6
601,31425769,-60.0
602,31446597,-65.3
603,31467459,-36.6
604,31488284,-45.0
605,31509102,-60.3
606,31529945,-50.7
607,31550819,-10.0
608,31571674,11.7
609,31592433,-62.7
610,31613305,-24.0
611,31634150,-12.3
612,31654999,3.3
613,31675855,26.0
614,31696652,-10.4
615,31717464,-31.7
616,31738305,-24.0
617,31759133,-29.4
618,31779927,-68.7
619,31800762,-67.1
620,31821623,-39.4
621,31842445,-50.7
622,31863290,-39.1
623,31884119,-43.4
624,31904979,-16.7
625,31925803,-26.1
626,31946633,-29.4
627,31967493,-2.8
628,31988270,-59.1
629,32009144,-18.4
630,32029953,-42.8
631,32050789,-40.1
632,32071622,-40.5
633,32092447,-48.8
634,32113282,-47.1
635,32134108,-54.5
636,32154911,-84.8
637,32175819,-10.1
638,32196616,-46.5
639,32217458,-37.8
640,32238305,-24.2
641,32259111,-51.5
642,32279981,-14.8
643,32300805,-24.2
644,32321641,-21.5
645,32342446,-49.9
646,32363331,1.8
647,32384262,99.5
648,32404955,-40.9
649,32425806,-23.2
650,32446566,-96.5
651,32467447,-48.9
652,32488263,-66.2
653,32509162,-0.6
654,32529990,-5.9
655,32550767,-62.2
656,32571620,-42.6
657,32592449,-46.9
658,32613312,-17.3
659,32634135,-27.6
660,32654956,-39.9
661,32675829,-0.3
662,32696610,-52.6
663,32717471,-24.9
664,32738290,-39.3
665,32759120,-42.6
666,32779964,-32.0
667,32800760,-69.3
668,32821659,-3.6
669,32842460,-36.0
670,32863339,9.7
671,32884123,-39.7
672,32904931,-65.0
673,32925798,-31.3
674,32946633,-29.7
675,32967478,-18.0
676,32988096,-233.3
677,33008969,-193.7
678,33029777,-219.0
679,33050618,-211.4
680,33071470,-192.7
681,33092287,-209.0
682,33113131,-198.4
683,33133963,-199.7
684,33154810,-186.1
685,33175645,-184.4
686,33196472,-190.7
687,33217277,-219.1
688,33238114,-215.4
689,33258997,-165.7
690,33279862,-134.1
691,33300629,-200.4
692,33321448,-214.8
693,33342284,-212.1
694,33363115,-214.4
695,33383982,-180.8
696,33404804,-192.1
697,33425620,-209.5
698,33446598,-64.8
699,33467460,-36.1
700,33488140,-189.5
701,33508961,-201.8
702,33529817,-179.1
703,33550810,-19.5
704,33571637,-25.8
705,33592524,27.8
706,33613290,-39.5
707,33634119,-43.8
708,33654951,-45.2
709,33675882,52.5
710,33696638,-24.9
711,33717448,-48.2
712,33738290,-39.5
713,33759086,-76.9
714,33779951,-45.2
715,33800814,-15.5
716,33821611,-51.9
717,33842444,-52.2
718,33863280,-49.6
719,33884123,-39.9
720,33904991,-5.2
721,33925788,-41.6
722,33946601,-61.9
723,33967457,-39.3
724,33988298,-31.6
725,34009114,-48.9
726,34029964,-32.3
727,34050803,-26.6
728,34071641,-22.0
729,34092458,-38.3
730,34113305,-24.6
731,34134078,-85.0
732,34154896,-100.3
733,34175727,-102.6
734,34196668,5.0
735,34217411,-85.3
736,34238315,-14.7
737,34259107,-56.0
738,34280011,14.7
739,34300811,-18.7
740,34321630,-33.0
741,34342468,-28.4
742,34363358,28.3
743,34384060,-103.0
744,34404977,-19.4
745,34425780,-49.7
746,34446428,-235.0
747,34467333,-163.4
748,34488132,-197.7
749,34509127,-36.1
750,34529978,-18.4
751,34550806,-23.7
752,34571631,-32.1
753,34592441,-55.4
754,34613399,69.2
755,34634096,-67.1
756,34654962,-34.4
757,34675784,-45.8
758,34696616,-47.1
759,34717408,-88.4
760,34738305,-24.8
761,34759123,-40.1
762,34779963,-33.5
763,34800834,4.2
764,34821645,-18.1
765,34842436,-60.5
766,34863341,11.2
767,34884086,-77.2
768,34904980,-16.5
769,34925783,-46.8
770,34946661,-2.2
771,34967505,8.5
772,34988311,-18.8
773,35009136,-27.2
774,35030002,5.5
775,35050810,-19.9
776,35071684,20.8
777,35092448,-48.5
778,35113305,-24.9
779,35134090,-73.2
780,35154965,-31.6
781,35175811,-18.9
782,35196646,-17.2
783,35217449,-47.6
784,35238288,-41.9
785,35259113,-50.2
786,35279991,-5.6
787,35300790,-39.9
788,35321631,-32.3
789,35342441,-55.6
790,35363305,-24.9
791,35384118,-45.3
792,35405006,9.4
793,35425775,-55.0
794,35446656,-7.3
795,35467420,-76.6
796,35488311,-19.0
797,35509127,-36.3
798,35529982,-14.6
799,35550754,-76.0
800,35571654,-9.3
