# START - collecting
# STOP
# ---- jitter result ----
# ticks   = 2430
# period  = 62500.018 us/tick
# bpm     = 40.000
# sigma_t = 309.010 us
# k,timestamp_us,residual_us
601,60168804,221.3
602,60230804,-278.7
603,60293804,221.3
604,60355804,-278.7
605,60418804,221.3
606,60480804,-278.8
607,60543804,221.2
608,60605804,-278.8
609,60668804,221.2
610,60730804,-278.8
611,60793804,221.2
612,60855804,-278.9
613,60918804,221.1
614,60980804,-278.9
615,61043804,221.1
616,61105804,-278.9
617,61168804,221.0
618,61230804,-279.0
619,61293804,221.0
620,61355804,-279.0
621,61418804,221.0
622,61480804,-279.0
623,61543804,220.9
624,61605804,-279.1
625,61668804,220.9
626,61730804,-279.1
627,61793804,220.9
628,61855804,-279.1
629,61918804,220.8
630,61980804,-279.2
631,62043804,220.8
632,62105804,-279.2
633,62168804,220.8
634,62230804,-279.3
635,62293804,220.7
636,62355804,-279.3
637,62418804,220.7
638,62480804,-279.3
639,62543804,220.7
640,62605804,-279.4
641,62668804,220.6
642,62730804,-279.4
643,62793804,220.6
644,62855804,-279.4
645,62918804,220.6
646,62980804,-279.5
647,63043804,220.5
648,63105804,-279.5
649,63168804,220.5
650,63230804,-279.5
651,63293804,220.4
652,63355804,-279.6
653,63418804,220.4
654,63480804,-279.6
655,63543804,220.4
656,63605804,-279.6
657,63668804,220.3
658,63730804,-279.7
659,63793804,220.3
660,63855804,-279.7
661,63918804,220.3
662,63980804,-279.8
663,64043804,220.2
664,64105804,-279.8
665,64168804,220.2
666,64230804,-279.8
667,64293804,220.2
668,64355804,-279.9
669,64418804,220.1
670,64480804,-279.9
671,64543804,220.1
672,64605804,-279.9
673,64668804,220.1
674,64730804,-280.0
675,64793804,220.0
676,64855804,-280.0
677,64918804,220.0
678,64980804,-280.0
679,65043804,219.9
680,65105804,-280.1
681,65168804,219.9
682,65230804,-280.1
683,65293804,219.9
684,65355804,-280.1
685,65418804,219.8
686,65480804,-280.2
687,65543804,219.8
688,65605804,-280.2
689,65668804,219.8
690,65730804,-280.3
691,65793804,219.7
692,65855804,-280.3
693,65918804,219.7
694,65980804,-280.3
695,66043804,219.7
696,66105804,-280.4
697,66168804,219.6
698,66230804,-280.4
699,66293804,219.6
700,66355804,-280.4
701,66418804,219.6
702,66480804,-280.5
703,66543804,219.5
704,66605804,-280.5
705,66668804,219.5
706,66730804,-280.5
707,66793804,219.4
708,66855804,-280.6
709,66918804,219.4
710,66980804,-280.6
711,67043804,219.4
712,67105804,-280.6
713,67168804,219.3
714,67230804,-280.7
715,67293804,219.3
716,67355804,-280.7
717,67418804,219.3
718,67480804,-280.8
719,67543804,219.2
720,67605804,-280.8
721,67668804,219.2
722,67730804,-280.8
723,67793804,219.2
724,67855804,-280.9
725,67918804,219.1
726,67980804,-280.9
727,68043804,219.1
728,68105804,-280.9
729,68168804,219.1
730,68230804,-281.0
731,68293804,219.0
732,68355804,-281.0
733,68418804,219.0
734,68480804,-281.0
735,68543804,218.9
736,68605804,-281.1
737,68668804,218.9
738,68730804,-281.1
739,68793804,218.9
740,68855804,-281.1
741,68918804,218.8
742,68980804,-281.2
743,69043804,218.8
744,69105804,-281.2
745,69168804,218.8
746,69230804,-281.3
747,69293804,218.7
748,69355804,-281.3
749,69418804,218.7
750,69480804,-281.3
751,69543804,218.7
752,69605804,-281.4
753,69668804,218.6
754,69730804,-281.4
755,69793804,218.6
756,69855804,-281.4
757,69918804,218.6
758,69980804,-281.5
759,70043804,218.5
760,70105804,-281.5
761,70168804,218.5
762,70230804,-281.5
763,70293804,218.4
764,70355804,-281.6
765,70418804,218.4
766,70480804,-281.6
767,70543804,218.4
768,70605804,-281.6
769,70668804,218.3
770,70730804,-281.7
771,70793804,218.3
772,70855804,-281.7
773,70918804,218.3
774,70980804,-281.8
775,71043804,218.2
776,71105804,-281.8
777,71168804,218.2
778,71230804,-281.8
779,71293804,218.2
780,71355804,-281.9
781,71418804,218.1
782,71480804,-281.9
783,71543804,218.1
784,71605804,-281.9
785,71668804,218.1
786,71730804,-282.0
787,71793804,218.0
788,71855804,-282.0
789,71918804,218.0
790,71980804,-282.0
791,72043804,217.9
792,72105804,-282.1
793,72168804,217.9
794,72230804,-282.1
795,72293804,217.9
796,72355804,-282.1
797,72418804,217.8
798,72480804,-282.2
799,72543804,217.8
800,72605804,-282.2
801,72668804,217.8
802,72730804,-282.2
803,72793804,217.7
804,72855804,-282.3
805,72918804,217.7
806,72980804,-282.3
807,73043804,217.7
808,73105804,-282.4
809,73168804,217.6
810,73230804,-282.4
811,73293804,217.6
812,73355804,-282.4
813,73418804,217.6
814,73480804,-282.5
815,73543804,217.5
816,73605807,-279.5
817,73668804,217.5
818,73730804,-282.5
819,73793804,217.4
820,73855804,-282.6
821,73918804,217.4
822,73980804,-282.6
823,74043804,217.4
824,74105804,-282.6
825,74168804,217.3
826,74230804,-282.7
827,74293804,217.3
828,74355804,-282.7
829,74418804,217.3
830,74480804,-282.7
831,74543804,217.2
832,74605804,-282.8
833,74668804,217.2
834,74730804,-282.8
835,74793804,217.2
836,74855804,-282.9
837,74918804,217.1
838,74980804,-282.9
839,75043804,217.1
840,75105804,-282.9
841,75168804,217.1
842,75230804,-283.0
